Time;Unit;Price
00 - 01;€/MWh;26,805
01 - 02;€/MWh;18,241
02 - 03;€/MWh;11,996
03 - 04;€/MWh;8,906
04 - 05;€/MWh;9,987
05 - 06;€/MWh;16,988
06 - 07;€/MWh;30,500
07 - 08;€/MWh;46,948
08 - 09;€/MWh;50,034
09 - 10;€/MWh;50,082
10 - 11;€/MWh;50,900
11 - 12;€/MWh;54,363
12 - 13;€/MWh;49,979
13 - 14;€/MWh;49,086
14 - 15;€/MWh;48,120
15 - 16;€/MWh;46,941
16 - 17;€/MWh;42,781
17 - 18;€/MWh;44,500
18 - 19;€/MWh;45,494
19 - 20;€/MWh;49,372
20 - 21;€/MWh;49,971
21 - 22;€/MWh;44,319
22 - 23;€/MWh;34,930
23 - 00;€/MWh;29,390